Producto;Unidad;Planta;costo
Asfalto Saturante;tonelada;VIÑA;30000
Asfalto Saturante;tonelada;VIÑA (DASA);30000
Asfalto Saturante A3;tonelada;THNO;30000
CA 150/200 - 8;tonelada;THNO;30000
CA 150/200 - 8;tonelada;VIÑA;30000
CA 60/80;tonelada;MEJILLONES;30000
CA 60/80;tonelada;THNO;30000
CA 60/80;tonelada;VIÑA;30000
CA 60/80;tonelada;VIÑA (DASA);30000
CA 60/80 E;tonelada;ARICA;30000
CA 60/80 E;tonelada;MEJILLONES;30000
CA 60/80 E;tonelada;THNO;30000
CA 60/80 E;tonelada;VIÑA;30000
CA 60/80 Multigrado;tonelada;THNO;30000
CA 60/80 Multigrado;tonelada;VIÑA;30000
CA 60/80 Stylink;tambor;VIÑA;30000
CA 60/80 Stylink;tonelada;VIÑA;30000
CA 80/100;tonelada;MEJILLONES;30000
CA 80/100;tonelada;THNO;30000
CA 80/100;tonelada;VIÑA;1000
CA 80/100;tonelada;VIÑA (DASA);1000
CA 80/100 Stylink;tonelada;VIÑA;1000
CA-14;tonelada;ARICA;1000
CA-14;tonelada;MEJILLONES;1000
CA-14;tonelada;THNO;1000
CA-14;tonelada;VIÑA;1000
CA-14;tonelada;VIÑA (DASA);1000
CA-24;tonelada;ARICA;1000
CA-24;tonelada;MEJILLONES;18600
CA-24;tonelada;THNO;18600
CA-24;tonelada;VIÑA;18600
CA-24;tonelada;VIÑA (DASA);18600
CA-30;tonelada;MEJILLONES;18600
CA-30;tonelada;THNO;18600
CA-30;tonelada;VIÑA;18600
Chapa de Contacto MP John Deere;unidad;VIÑA;18600
ColorGrip - Primer C (envase 5 kg);unidad;VIÑA;18600
ColorGrip Red - Bauxita Rojo (25 kg);bolsa;VIÑA;18600
ColorGrip Red - Kit Resina (17.5 kg);unidad;VIÑA;18600
CQS-1h;tambor;MEJILLONES;18600
CQS-1h;tambor;THNO;18600
CQS-1h;tambor;VIÑA;18600
CQS-1h;tonelada;MEJILLONES;18600
CQS-1h;tonelada;THNO;18600
CQS-1h;tonelada;VIÑA;18600
CQS-1h E;tambor;MEJILLONES;18600
CQS-1h E;tambor;THNO;18600
CQS-1h E;tambor;VIÑA;18600
CQS-1h E;tonelada;MEJILLONES;18600
CQS-1h E;tonelada;THNO;18600
CQS-1h E;tonelada;VIÑA;18600
CRS-1 E;tonelada;THNO;18600
CRS-2;litros;THNO;18600
CRS-2;litros;VIÑA;18600
